citric acid,residual sugar,pH,sulphates,alcohol,type
0.23,1.7,3.29,0.65,9.3,1
0.11,1.9,3.19,0.82,9.6,1
0.5,2.3,3.1,0.87,11.4,1
0.28,7.8,3.19,0.38,10.4,0
0.3,5.0,2.94,0.47,11.2,0
0.33,1.5,3.14,0.42,9.7,0
0.58,15.0,3.15,0.51,9.0,0
0.48,18.0,2.98,0.61,8.5,0
0.36,8.1,3.08,0.42,9.2,0
0.0,1.9,3.37,0.58,9.0,1
0.27,7.1,3.15,0.6,12.6,0
0.49,6.9,2.99,0.34,11.5,0
0.25,1.9,3.43,0.65,9.0,1
0.37,1.3,3.19,0.51,12.4,0
0.37,6.2,3.24,0.39,8.8,0
0.16,1.4,3.34,0.56,9.3,1
0.14,10.7,3.22,0.33,10.7,0
0.36,1.9,3.47,0.87,11.0,1
0.27,2.3,3.24,0.53,9.4,1
0.21,7.2,3.22,0.48,9.4,0
0.27,10.6,3.27,0.3,9.3,0
0.13,17.2,2.96,0.46,9.7,0
0.42,14.6,3.21,0.69,8.6,0
0.26,2.3,3.71,0.62,12.2,1
0.24,5.4,3.25,0.44,9.0,0
0.32,1.6,3.29,0.76,9.6,0
0.4,1.4,3.07,0.65,10.0333333333333,1
0.21,1.7,3.2,0.52,9.5,1
0.3,1.1,3.18,0.39,11.7,0
0.59,1.4,2.92,0.68,10.5,1
0.49,2.2,3.19,0.44,9.6,1
0.15,3.0,3.33,0.59,12.8,1
0.0,3.2,3.36,0.45,9.4,1
0.49,5.2,3.18,0.48,10.6,0
0.49,1.4,3.13,0.63,10.4,1
0.29,5.3,3.06,0.32,11.8,0
0.29,2.1,3.4,0.64,9.5,1
0.35,9.8,3.15,0.57,9.0,0
0.38,9.7,3.3,0.57,9.4,0
0.42,5.5,3.42,0.72,10.5,1
0.64,2.9,3.23,0.66,12.5,1
0.05,1.9,3.42,0.57,11.5,1
0.08,1.7,3.24,0.5,9.8,1
0.62,6.3,2.96,0.59,10.2,0
0.41,2.3,3.09,0.8,9.3,1
0.28,4.0,3.26,0.64,12.6,0
0.33,3.6,3.08,0.4,10.5,0
0.49,2.4,3.08,0.87,10.9,1
0.37,1.0,3.08,0.38,11.4,0
0.49,3.4,3.3,0.76,10.7,1
0.2,1.4,3.06,0.4,9.4,0
0.23,2.9,3.28,0.43,9.8,0
0.52,2.0,3.03,0.66,10.2,1
0.29,2.5,3.42,0.65,11.0,1
0.25,8.0,3.22,0.43,9.3,0
0.48,1.8,3.39,0.53,9.4,1
0.3,2.5,3.14,0.51,9.6,0
0.37,2.2,3.22,0.62,9.2,1
0.18,2.4,3.29,0.6,10.2,1
0.26,6.5,3.14,0.47,10.7,0
0.26,1.7,3.43,0.5,10.7,0
0.49,2.4,3.62,0.81,10.4,0
0.25,2.0,3.04,0.9,10.1,1
0.02,1.3,3.17,1.08,9.2,1
0.3,12.3,2.99,0.57,10.4,0
0.03,2.0,3.44,0.64,10.9,1
0.1,2.1,3.29,0.75,10.9,1
0.39,10.2,3.17,0.54,10.0,0
0.42,2.3,3.14,0.71,11.8,1
0.49,1.7,3.12,0.5,11.5,1
0.2,1.8,3.54,0.58,9.3,1
0.53,2.6,3.15,0.65,11.0,1
0.58,12.1,3.08,0.46,8.9,0
0.45,6.2,3.21,0.49,11.8,1
0.03,2.7,3.34,0.38,9.2,0
0.66,3.1,3.15,0.85,10.4,1
0.12,5.9,3.06,0.46,8.4,0
0.36,1.8,3.27,0.77,10.8,1
0.26,9.25,3.05,0.37,11.4,0
0.36,5.0,3.11,0.4,12.4,0
0.4,1.2,3.3,0.97,9.8,0
0.29,4.8,3.53,0.54,11.1,1
0.41,1.45,2.99,0.56,12.0,0
0.27,2.1,3.35,0.63,12.0,1
0.63,2.4,3.1,0.6,10.4,1
0.58,11.1,3.06,0.49,8.6,0
0.22,1.9,3.26,0.56,10.6,1
0.43,2.0,3.45,0.87,11.2,1
0.29,1.2,3.2,0.48,11.3,0
0.44,1.9,3.28,0.55,9.5,1
0.02,3.4,3.48,0.49,11.0,1
0.68,4.1,3.06,0.66,13.4,1
0.32,1.7,3.2,0.62,10.2,0
0.29,6.2,3.6,0.44,10.6,0
0.22,1.7,3.28,0.69,8.9,0
0.32,1.8,3.05,0.62,11.2,0
0.69,2.8,3.1,0.61,10.8,1
0.6,65.8,3.39,0.69,11.7,0
0.54,2.8,3.21,0.76,11.3,1
0.65,2.15,3.06,0.68,11.3,1
0.04,2.0,3.22,0.44,9.6,1
0.33,2.4,3.21,0.65,11.7,0
0.03,1.8,3.36,0.33,9.1,1
0.29,1.3,3.35,0.39,10.1,0
0.49,1.0,2.91,0.32,9.9,0
0.19,5.8,3.15,0.63,9.9,0
0.76,1.8,3.06,1.26,9.4,1
0.27,12.6,3.66,0.43,8.9,0
0.24,2.0,3.44,0.58,10.1,1
0.45,1.6,2.93,0.46,10.8,0
0.34,1.5,3.25,0.49,9.6,0
0.33,5.2,3.26,0.58,11.1,0
0.47,11.6,3.19,0.5,9.5,0
0.5,1.8,3.15,0.57,10.5,1
0.28,4.4,3.11,0.62,12.9,0
0.29,3.9,3.1,0.59,11.1,0
0.07,2.5,3.38,0.6,11.3,1
0.1,1.5,3.39,0.51,9.3,1
0.3,2.2,3.44,0.72,11.5,1
0.21,2.6,3.39,0.79,14.0,0
0.27,2.6,3.39,0.71,11.0,1
0.68,1.7,3.08,1.31,9.3,1
0.47,1.6,3.27,0.66,10.0,1
0.41,7.9,3.27,0.57,9.3,1
0.04,1.5,3.35,0.78,9.5,1
0.31,1.7,3.03,0.42,11.2,0
0.47,2.1,3.33,0.53,10.3,1
0.04,2.1,3.44,0.67,9.8,1
0.3,1.3,3.37,0.43,12.4,0
0.42,2.0,3.09,0.66,10.0,0
0.2,1.7,3.1,0.4,9.3,1
0.47,2.0,3.23,0.52,12.0,1
0.35,6.9,3.1,0.44,10.7,0
0.39,2.3,2.94,0.35,12.0,0
0.19,3.9,3.17,0.93,9.2,1
0.46,2.1,3.4,0.85,11.0,1
0.45,2.6,3.23,0.72,10.9,1
0.05,2.7,3.26,0.61,9.1,1
0.06,1.6,3.57,0.54,11.95,1
0.0,2.2,3.71,0.63,12.8,1
0.37,1.4,3.26,0.7,9.6,1
0.24,6.6,3.07,0.48,9.4,0
0.0,3.0,3.45,0.56,10.7,1
0.4,1.5,3.14,0.51,10.9,1
0.45,2.1,3.15,0.81,12.5,1
0.04,3.0,3.69,0.91,9.4,1
0.54,1.5,3.02,0.76,9.9,1
0.44,1.2,3.11,0.75,11.3,0
0.33,0.9,3.21,0.5,11.4,0
0.44,3.6,3.01,0.38,9.1,0
0.26,1.1,3.09,0.54,9.3,0
0.08,2.1,3.42,0.6,10.2,1
0.34,14.05,3.07,0.59,11.0,0
0.24,2.7,3.28,0.56,10.0,1
0.26,11.0,3.07,0.36,11.2,0
0.31,2.8,3.37,0.66,11.7,0
0.37,2.2,3.23,0.49,9.3,1
0.52,1.6,3.25,0.58,9.5,1
0.4,2.2,3.27,0.67,11.9,1
0.55,3.2,3.15,0.89,9.9,1
0.3,2.1,3.4,0.61,10.2,1
0.38,2.3,3.39,0.72,11.8,1
0.32,6.2,3.35,0.47,10.1,0
0.0,2.5,3.38,0.46,9.6,1
0.64,11.8,3.12,0.51,8.9,0
0.73,14.35,2.96,0.88,8.7,0
0.48,1.8,3.44,0.78,10.3,1
0.25,14.3,3.12,0.37,9.7,0
0.24,1.7,3.29,0.67,10.0,1
0.58,3.5,3.29,0.58,9.0,1
0.26,6.8,3.15,0.42,11.0,0
0.11,2.2,3.54,0.88,13.5666666666667,1
0.05,2.4,3.56,0.55,12.9,1
0.15,6.6,2.99,0.58,9.9,0
0.33,3.2,3.1,0.69,10.2,0
0.25,15.0,3.19,0.53,9.6,0
0.41,7.0,3.14,0.48,9.4,0
0.24,17.8,3.3,0.5,10.1,0
0.17,1.4,3.26,0.32,10.0,0
0.08,2.6,3.3,0.59,10.4,1
0.27,2.6,3.53,0.42,12.4,0
0.38,1.7,3.41,0.53,9.5,1
0.49,2.7,3.15,0.63,10.5,1
0.46,2.2,3.18,0.69,11.9,1
0.41,1.9,3.2,0.53,10.1,0
0.49,1.1,3.0,0.68,10.4,0
0.01,2.1,3.33,0.56,9.5,1
0.24,2.1,3.41,0.87,10.3,1
0.44,2.9,3.33,0.62,12.2,1
0.04,2.2,3.53,0.65,10.4,1
0.23,2.1,3.32,0.48,9.5,1
0.39,2.3,3.26,0.54,12.3,0
0.28,6.5,3.16,0.58,12.6,0
0.69,1.2,2.96,0.43,9.2,0
0.48,2.0,3.34,0.55,9.2,1
0.26,6.8,3.38,0.4,11.5,0
0.54,1.9,2.98,0.63,11.8,1
0.24,2.0,3.43,0.54,10.0,1
0.18,2.9,3.14,0.54,9.4,1
0.43,1.4,3.22,0.62,10.6,0
0.17,2.0,3.29,0.61,9.2,1
0.1,6.4,3.14,0.48,9.8,0
0.28,8.7,3.25,0.54,10.4,0
0.5,2.2,3.08,0.61,9.8,0
0.29,10.5,3.04,0.35,9.4,0
0.4,2.2,3.19,0.53,9.8,0
0.0,1.8,3.47,0.7,9.9,1
0.28,2.2,3.2,0.57,11.4,0
0.24,1.9,3.35,0.38,11.0,0
0.22,5.25,3.22,0.4,11.2,0
0.46,2.1,3.4,0.85,11.0,1
0.38,12.1,2.94,0.48,9.2,0
0.32,2.5,3.29,0.62,10.1,1
0.33,7.6,3.25,0.49,8.6,0
0.25,2.4,3.41,0.6,10.1,1
0.02,1.9,3.35,0.81,10.6,1
0.17,2.3,3.85,0.6,12.9,1
0.52,2.8,3.18,0.64,9.4,1
0.42,19.8,2.96,0.44,9.1,0
0.33,1.5,3.22,0.65,12.0,0
0.23,14.8,3.18,0.49,9.7,0
0.49,9.3,3.02,0.33,10.6,0
0.19,4.0,3.22,0.5,10.0,1
0.28,4.2,3.0,0.41,12.6,0
0.32,5.9,3.2,0.57,10.8,0
0.36,1.2,3.16,0.51,11.0,0
0.64,2.2,3.54,0.66,10.5,1
0.14,2.4,3.66,0.65,9.8,1
0.26,3.5,3.1,0.38,11.5,0
0.1,2.9,3.29,0.55,9.5,1
0.0,2.2,3.59,0.54,11.5,1
0.28,3.4,3.21,0.37,11.3,0
0.46,2.1,3.26,0.56,11.3,1
0.44,12.2,3.26,0.54,9.3,0
0.29,2.2,3.36,0.49,9.1,1
0.39,1.2,3.29,0.52,11.5,1
0.02,1.3,3.9,0.62,12.8,1
0.02,4.4,3.41,0.57,11.0,1
0.07,1.7,3.29,0.66,10.8,1
0.07,2.0,3.6,0.74,11.7,1
0.4,1.7,3.39,0.6,10.5,1
0.49,1.9,2.98,0.66,9.9,1
0.63,2.2,3.21,0.69,10.9,1
0.21,1.7,3.5,0.45,12.5,0
0.69,2.8,3.1,0.61,10.8,1
0.0,2.7,3.44,0.63,11.3,1
0.44,8.2,3.2,0.51,9.4,0
0.41,2.3,3.21,0.5,9.5,1
0.68,8.3,3.01,0.51,12.3,1
0.25,1.9,3.43,0.65,9.0,1
0.55,2.7,2.98,0.54,9.4,1
0.48,1.9,3.33,0.87,10.9,1
0.26,2.1,3.31,0.53,9.2,1
0.44,1.6,3.22,0.78,10.0,1
0.53,2.5,3.37,0.8,9.6,1
0.41,0.9,3.25,0.43,10.9,0
0.49,1.2,3.13,0.48,12.1,0
0.33,2.7,3.22,0.68,10.0,1
0.4,1.2,3.13,0.45,10.3,0
0.29,19.5,3.1,0.48,9.2,0
0.4,1.6,3.32,0.87,8.7,1
0.14,2.4,3.19,0.59,9.5,1
0.37,1.4,3.26,0.7,9.6,1
0.4,7.6,3.04,0.32,11.5,0
0.35,5.4,3.1,0.54,11.0,0
0.04,1.9,3.16,0.7,9.4,1
0.46,13.8,3.36,0.37,9.5,0
0.27,1.4,3.22,0.56,9.5,0
0.14,2.2,3.28,0.59,9.8,1
0.32,0.95,3.25,0.35,11.8,0
0.36,17.2,3.23,0.43,8.8,0
0.25,11.2,3.14,0.4,9.5,0
0.24,5.1,3.24,0.44,11.3,0
0.28,14.7,2.96,0.39,9.0,0
0.33,17.85,3.06,0.44,9.1,0
0.42,1.6,2.94,0.46,11.0,0
0.23,1.6,3.07,0.32,9.5,0
0.34,2.5,3.2,0.72,13.1,1
0.44,1.9,3.19,0.48,9.9,0
0.43,1.65,3.19,0.46,11.4,1
0.38,1.2,3.19,0.43,11.1,0
0.49,2.4,3.23,0.58,9.2,1
0.24,2.8,3.35,0.56,10.0,1
0.37,5.1,3.32,0.64,10.4,1
0.24,1.8,3.37,0.62,10.4,1
0.49,1.8,3.18,1.06,11.0,1
0.42,1.1,3.12,0.53,11.3,0
0.37,1.65,3.11,0.45,11.4,0
0.19,3.0,3.37,0.51,10.5,1
0.49,2.7,3.42,0.9,10.0,1
0.57,2.3,3.36,0.55,11.4,1
0.12,5.1,3.26,0.77,9.4,1
0.32,14.6,3.0,0.45,9.2,0
0.06,2.6,3.38,0.59,10.7,1
0.17,2.3,3.2,0.45,9.3,1
0.28,4.4,3.24,0.46,10.4,0
0.45,2.3,3.39,0.62,9.4,1
0.27,10.3,3.2,0.36,10.7,0
0.31,7.4,3.06,0.55,12.2,0
0.3,13.7,2.9,0.44,8.7,0
0.29,13.65,3.0,0.6,9.5,0
0.18,1.9,3.3,0.59,9.0,1
0.29,2.9,3.04,0.37,12.5,0
0.68,2.55,3.18,0.61,11.8,1
0.18,7.7,3.23,0.47,9.0,0
0.49,1.2,3.23,0.47,11.2,0
0.49,2.2,3.19,0.43,9.2,1
0.24,2.5,3.32,0.6,9.0,1
0.49,2.8,3.14,0.57,11.4,1
0.34,7.5,3.1,0.54,9.0,0
0.05,2.3,3.38,0.6,10.3,1
0.31,1.3,3.16,0.54,12.4,0
0.65,7.5,2.98,0.84,14.9,1
0.37,3.1,3.14,0.45,12.2,0
0.24,2.8,3.19,0.73,10.0,1
0.3,9.2,3.08,0.29,11.0,0
0.39,1.5,3.47,0.73,10.9,1
0.13,2.0,3.61,0.64,9.8,1
0.31,5.3,3.2,0.48,9.4,0
0.29,3.1,3.22,0.78,12.0,1
0.0,2.0,3.59,0.55,11.2,1
0.74,1.8,3.29,0.52,12.8,0
0.34,4.8,3.12,0.49,11.2,0
0.29,1.6,3.25,0.54,10.3,1
0.47,2.6,3.36,0.8,10.5,1
0.31,1.7,3.27,0.69,11.4,0
0.02,1.8,3.46,0.68,9.5,1
0.36,2.5,3.48,0.49,10.6,0
0.47,2.1,3.15,0.9,11.0,1
0.33,14.6,3.34,0.67,8.8,0
0.49,1.4,3.13,0.63,10.4,1
0.45,8.6,3.12,0.59,10.2,0
0.11,2.3,3.4,0.48,9.9,1
0.32,2.8,3.3,0.76,12.8,1
0.12,10.7,3.45,0.52,9.4,1
0.3,8.1,3.1,0.67,11.8,0
0.42,9.1,3.12,0.74,9.9,0
0.34,2.7,3.14,0.38,12.4,0
0.32,8.6,3.08,0.52,10.5,0
0.44,2.7,3.33,0.78,11.0,1
0.01,2.2,3.39,0.4,12.8,1
0.62,19.25,2.98,0.67,9.7,0
0.38,0.8,3.26,0.32,11.8,0
0.41,14.1,3.2,0.63,9.4,0
0.34,5.0,3.06,0.48,12.4,0
0.39,2.0,3.05,0.52,10.9,0
0.27,2.3,3.18,0.8,11.2,1
0.24,2.2,3.14,0.6,10.2,1
0.31,2.1,3.26,0.54,9.9,1
0.07,7.0,3.34,0.57,9.7,0
0.33,9.9,3.1,0.43,12.1,0
0.32,2.2,3.36,0.52,9.4,1
0.02,1.7,3.37,0.51,10.4,1
0.21,6.55,2.92,0.35,11.1,0
0.16,1.8,3.5,0.7,9.9,1
0.33,12.8,3.1,0.56,9.8,0
0.12,2.3,3.17,0.66,9.8,1
0.34,6.4,3.19,0.7,11.5,0
0.4,7.6,3.04,0.32,11.5,0
0.42,5.0,3.15,0.31,12.4,0
0.4,6.5,3.15,0.44,9.3,0
0.21,1.9,3.34,0.47,10.5,1
0.1,3.0,3.31,0.54,9.5,1
0.4,22.0,2.93,0.5,8.7,0
0.4,2.4,3.56,0.73,10.6,1
0.46,3.6,3.35,0.86,12.8,1
0.26,8.2,3.12,0.5,9.5,0
0.64,2.4,3.09,0.66,11.8,1
0.36,2.0,3.48,0.64,9.2,1
0.18,7.0,3.21,0.43,9.0,0
0.44,1.2,3.14,0.73,11.2,0
0.25,1.4,3.53,0.66,10.5,0
0.49,2.8,3.22,0.68,11.7,1
0.0,2.2,3.42,0.72,11.1,1
0.13,3.45,3.44,0.52,11.5,1
0.0,2.3,3.56,0.51,10.8,1
0.37,2.0,3.34,0.59,9.4,1
0.17,1.6,3.61,0.54,11.4,1
0.28,7.1,3.2,0.42,9.2,0
0.49,2.3,3.38,0.99,9.8,1
0.63,1.6,3.3,0.78,10.8,1
0.3,2.4,3.46,0.59,10.2,1
0.04,1.6,3.29,0.54,9.7,1
0.49,7.8,3.26,0.58,11.3,0
0.11,1.8,3.34,0.52,9.3,1
0.0,1.4,3.45,0.56,12.2,1
0.27,11.2,2.99,0.59,9.3,0
0.69,2.3,3.0,0.65,12.8,1
0.22,4.6,3.29,0.37,9.3,0
0.15,1.2,3.09,0.43,9.2,0
0.12,3.0,3.36,0.57,9.1,1
0.39,1.4,3.23,0.6,11.3,0
0.33,2.4,3.27,0.81,11.0,1
0.49,2.9,3.08,0.61,9.2,1
0.07,2.5,3.38,0.6,11.3,1
0.41,1.3,3.17,0.51,10.4,0
0.34,1.8,3.38,0.88,13.6,1
0.3,9.9,3.07,0.42,10.9,0
0.68,1.7,2.9,1.33,9.1,1
0.41,1.4,3.16,0.4,13.4,0
0.24,4.6,3.14,0.5,9.1,0
0.21,2.0,3.33,0.47,9.5,1
0.26,3.8,3.26,0.46,9.2,1
0.0,1.6,3.27,0.67,10.8,0
0.14,1.9,3.48,0.57,11.5,1
0.44,1.8,3.36,0.66,11.2,1
0.52,2.0,3.29,0.58,11.1,1
0.02,1.9,3.39,0.82,10.9,1
0.68,2.9,3.06,0.8,10.0,1
0.0,2.3,3.56,0.51,10.8,1
0.15,1.45,3.52,0.4,11.6,0
0.09,1.7,3.67,0.56,11.6,1
0.29,2.5,3.09,0.37,9.8,0
0.36,2.0,3.38,0.53,10.5,0
0.36,2.6,3.32,0.53,12.7,0
0.3,7.9,2.96,0.34,10.4,0
0.28,31.6,3.15,0.38,8.8,0
0.33,6.7,3.22,0.56,9.5,1
0.24,9.8,3.13,0.51,10.6,0
0.35,2.4,3.38,0.62,9.5,1
0.22,1.3,3.61,0.55,10.3,0
0.14,2.4,3.42,0.62,11.7,1
0.13,2.3,3.42,0.75,11.0,1
0.1,2.1,3.29,0.75,10.9,1
0.37,6.9,3.0,0.48,10.7,0
0.26,6.8,3.38,0.4,11.5,0
0.42,5.5,3.42,0.71,10.5,1
0.49,2.7,3.31,0.61,10.1,1
0.2,3.0,3.23,0.59,9.5,1
0.0,2.2,3.62,0.62,11.5,1
0.44,1.7,3.52,0.63,10.7,1
0.03,5.6,3.58,0.5,11.2,1
0.23,3.4,3.28,0.62,9.4,1
0.29,2.2,3.06,0.44,11.8,0
0.27,2.3,3.18,0.8,11.2,1
0.36,16.3,3.26,0.41,8.8,0
0.22,5.2,3.22,0.47,10.3,0
1.0,3.4,2.74,2.0,9.4,1
0.49,1.5,2.99,0.61,9.8,0
0.49,1.1,3.55,0.45,10.3,0
0.26,2.0,3.21,0.52,9.9,1
0.28,7.2,3.14,0.6,10.1,0
0.34,2.6,3.26,0.66,10.1,1
0.5,2.1,3.15,0.45,10.3,0
0.56,0.9,3.16,0.62,9.7,0
0.21,6.7,3.15,0.52,10.8,0
0.16,1.9,3.27,0.64,9.3,1
0.51,4.0,3.28,0.97,10.1,1
0.35,2.1,3.23,0.66,11.1,1
0.32,1.0,3.06,0.37,12.2,0
0.19,1.8,3.49,0.68,10.5,1
0.35,15.8,3.24,0.37,10.6,0
0.24,1.7,3.39,0.6,10.6,1
0.3,8.1,2.94,0.36,11.8,0
0.37,7.9,3.19,0.48,9.5,0
0.13,12.8,3.24,0.47,9.0,0
0.76,3.7,2.95,0.68,11.2,1
0.24,2.1,3.12,0.59,9.9,1
0.29,7.4,3.15,0.56,10.9,0
0.28,1.1,3.22,0.38,12.6,0
0.05,5.7,3.4,0.52,10.2,1
0.35,10.3,3.23,0.47,9.2,0
0.59,11.8,3.17,0.46,8.9,0
0.26,2.0,3.25,0.42,9.6,1
0.21,10.7,3.03,0.47,9.3,0
0.15,4.6,3.11,0.38,10.2,0
0.01,1.9,3.69,0.73,10.5,1
0.01,1.6,3.7,0.75,14.0,1
0.33,0.7,3.11,0.31,11.8,0
0.02,1.9,3.3,0.56,10.75,1
0.27,2.4,3.1,0.51,9.2,0
0.28,2.4,3.24,0.53,9.4,1
0.33,3.5,3.14,0.36,9.8,0
0.22,5.95,3.4,0.57,9.4,0
0.32,1.1,3.23,0.36,12.1,0
0.49,2.9,3.13,0.4,13.0,0
0.1,1.3,3.36,0.51,11.2,0
0.32,1.4,3.06,0.47,11.4,0
0.01,2.2,3.32,0.58,11.0,1
0.09,1.8,3.38,0.45,9.6,1
0.02,2.5,3.44,0.52,9.3,1
0.16,1.8,3.42,0.92,10.5,1
0.34,2.0,3.04,0.45,11.6,0
0.35,6.3,3.16,0.39,12.0,0
0.41,2.2,3.08,0.67,9.3,1
0.27,12.3,3.28,0.42,9.3,0
0.02,2.3,3.57,0.78,9.9,1
0.11,2.2,3.54,0.88,13.6,1
0.03,1.8,3.34,0.39,9.5,1
0.23,1.6,3.34,0.56,9.2,1
0.39,4.3,3.46,0.36,12.8,0
0.34,2.7,3.26,0.61,9.5,1
0.3,1.8,3.13,0.5,10.2,0
0.3,1.4,3.15,0.46,9.1,0
0.34,5.1,3.22,0.94,10.9,1
0.4,1.5,3.42,0.6,10.4,0
0.3,9.3,3.21,0.5,10.4,0
0.3,1.2,2.96,0.36,12.5,0
0.26,2.6,3.07,0.52,11.8,0
0.08,4.4,3.56,0.63,11.6,1
0.19,1.7,3.38,0.64,9.8,1
0.25,8.0,3.06,0.38,10.8,0
0.31,2.0,3.47,0.55,9.5,1
0.01,2.1,3.41,0.57,11.8,1
0.22,10.2,3.08,0.4,9.3,0
0.44,2.3,3.32,0.67,9.7,1
0.27,8.5,2.96,0.46,11.7,0
0.52,8.1,3.18,0.48,9.5,0
0.25,1.4,3.08,0.43,13.2,0
0.03,2.3,3.52,0.56,12.3,1
0.28,4.5,3.36,0.58,11.9,0
0.49,4.2,2.92,0.74,11.1,1
0.21,1.6,3.17,0.91,9.5,1
0.41,2.4,3.34,0.85,11.4,1
0.24,17.8,3.3,0.5,10.1,0
0.31,2.0,2.95,0.77,12.2,0
0.27,1.5,3.46,0.42,11.0,0
0.34,3.6,3.29,0.52,10.7,1
0.24,10.8,3.08,0.4,10.1,0
0.45,2.3,3.39,0.62,9.4,1
0.66,2.0,3.66,0.6,11.5,1
0.19,2.4,3.25,0.43,10.4,0
0.34,6.0,3.19,0.4,9.1,0
0.24,1.2,3.13,0.36,9.2,0
0.06,1.6,3.36,0.7,9.6,1
0.45,7.5,3.26,0.46,9.2,0
0.43,2.2,3.16,0.67,10.8,1
0.25,1.8,3.36,0.44,10.1,1
0.0,1.4,3.25,0.64,10.0,1
0.0,1.4,3.36,0.45,9.5,1
0.36,1.4,3.19,0.66,12.0,0
0.58,3.7,3.19,0.7,11.3,1
0.24,1.2,3.28,0.42,10.9,0
0.32,2.7,3.24,0.44,10.4,1
0.0,3.9,3.46,0.54,9.5,1
0.21,2.5,3.37,0.54,10.1,1
0.19,5.2,3.16,0.52,9.56666666666667,1
0.05,2.0,3.36,0.61,10.0,1
0.35,16.5,3.16,0.59,9.1,0
0.49,10.4,3.31,0.44,10.2,0
0.47,1.7,3.15,0.67,10.6,1
0.66,15.9,3.14,0.5,8.8,0
0.26,4.0,3.31,0.68,9.5,0
0.33,2.1,3.26,0.45,12.3,0
0.38,1.1,3.03,0.43,9.2,0
0.33,2.8,3.15,0.38,12.7,0
0.22,4.2,3.35,0.39,9.4,0
0.04,2.2,3.21,0.6,10.9,1
0.56,1.4,3.16,0.51,11.8,1
0.12,2.0,3.57,0.71,10.2,1
0.49,7.4,3.11,0.38,9.0,0
0.28,0.7,3.13,0.32,10.6,0
0.12,3.8,3.28,0.61,9.5,1
0.46,10.2,3.14,0.43,9.9,0
0.21,1.9,3.52,0.58,9.3,1
0.12,1.6,3.39,0.54,9.5,1
0.48,2.1,3.26,0.62,12.4,1
0.27,1.7,3.4,0.56,12.6,0
0.29,1.3,3.29,0.54,9.9,0
0.3,0.9,2.95,0.39,10.1,0
0.42,14.4,3.28,0.82,9.0,0
0.05,2.3,3.38,0.6,10.3,1
0.49,1.7,3.07,0.46,12.5,0
0.34,1.2,3.18,0.34,12.1,0
0.16,2.1,3.37,0.55,9.7,1
0.31,2.9,3.07,0.65,10.9,0
0.27,1.6,3.23,0.35,11.1,0
0.33,13.8,3.35,0.56,10.4,0
0.35,3.3,3.21,0.69,10.5,1
0.49,4.6,3.07,0.56,11.7,1
0.29,5.4,3.3,0.5,11.1,0
0.28,20.4,3.14,0.38,8.7,0
0.29,4.1,3.0,0.32,12.8,0
0.13,2.3,3.42,0.75,11.0,1
0.31,2.7,3.31,0.61,9.4,1
0.39,2.2,2.89,0.5,9.6,1
0.42,1.8,3.09,0.39,11.4,0
0.0,2.0,3.61,0.96,9.9,1
0.28,10.0,3.22,0.35,10.9,0
0.12,1.9,3.26,0.86,9.2,1
0.64,12.9,3.0,0.53,8.8,0
0.31,3.9,3.15,0.31,11.5,0
0.27,2.0,3.26,0.58,9.8,1
0.03,1.8,3.5,0.82,14.0,1
0.12,1.8,3.38,0.89,11.8,1
0.4,1.85,3.03,0.3,11.8,0
0.22,1.4,3.08,0.77,10.4,0
0.42,1.8,3.21,1.05,10.8,1
0.3,12.8,3.0,0.52,9.0,0
0.26,1.9,3.15,0.38,9.4,0
0.35,2.3,3.28,0.5,10.2,0
0.2,17.9,3.14,0.51,8.8,0
0.24,6.8,3.2,0.41,9.9,0
0.22,7.9,3.23,0.52,9.3,0
0.21,2.4,3.4,0.53,10.1,1
0.29,1.1,3.17,0.55,10.7,0
0.27,13.9,2.94,0.41,8.8,0
0.06,2.0,3.38,0.83,10.3,1
0.49,2.2,3.31,0.67,10.1,1
0.34,3.6,3.29,0.52,10.7,1
0.49,6.8,3.19,0.47,9.3,0
0.28,2.2,3.06,0.52,11.2,0
0.08,4.4,3.38,0.5,9.0,1
0.24,1.8,3.3,0.43,9.9,0
0.74,2.6,3.2,0.77,10.8,1
0.32,7.9,3.29,0.31,10.0,0
0.46,1.7,3.18,0.83,10.6,1
0.34,14.4,3.07,0.53,9.1,0
0.28,10.4,3.24,0.45,9.3,0
0.44,2.2,3.07,0.84,9.2,1
0.25,2.0,3.28,0.6,10.0,1
0.23,2.0,3.4,0.84,11.2,1
0.32,5.6,3.38,0.77,10.5,1
0.21,15.55,3.48,0.64,9.6,0
0.29,2.3,3.32,0.62,11.5,1
0.29,13.1,3.39,0.45,8.6,0
0.29,1.1,3.04,0.39,11.45,0
0.3,1.8,3.42,0.59,9.5,1
0.59,2.8,3.12,0.54,12.0,1
0.32,2.1,3.27,0.5,9.8,1
0.29,8.9,3.29,0.46,9.8,0
0.4,14.55,3.34,0.78,9.1,0
0.41,9.4,3.12,0.61,9.9,0
0.21,2.2,3.28,0.55,9.7,1
0.34,1.6,3.32,0.59,11.5,0
0.0,1.3,3.31,0.38,9.4,0
0.33,1.6,3.3,0.84,11.9,0
0.34,1.2,2.93,0.37,11.3,0
0.17,2.9,3.14,0.61,9.4,1
0.39,1.8,3.18,0.82,11.0,1
0.3,1.8,3.61,0.82,10.0,1
0.27,10.7,3.08,0.41,9.0,0
0.46,9.7,3.23,0.5,9.0,0
0.36,2.0,3.3,0.59,10.5,0
